Unnamed: 0,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,0,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G2V,0.656,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,,
676,676,677.0,358.0,15.0,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-2e-08,1.958e-05,-2.65e-05,0.036597163,0.507723818,6.57795e-07,-7.90004e-07,Alp,21.0,And,1,676,,114.4985535,Alp,2.083,2.063
744,744,746.0,432.0,21.0,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,1.681e-05,4.329e-05,2.39e-06,0.040025853,1.032358404,2.53747e-06,-8.74701e-07,Bet,11.0,Cas,1,744,,30.06076303,Bet,2.303,2.263
1065,1065,1067.0,886.0,39.0,,88Gam Peg,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4.0,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,5.04e-06,3.03e-06,-3.56e-06,0.057752413,0.26500374,2.27862e-08,-3.99486e-08,Gam,88.0,Peg,1,1065,,926.4031007,Gam,2.846,2.816
2076,2076,2081.0,2261.0,99.0,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,232.76,-353.64,75.0,2.4,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,2.323e-05,3.218e-05,-8.456e-05,0.114682903,-0.738378669,1.12845e-06,-1.7145e-06,Alp,,Phe,1,2076,,64.44659847,,,
2914,2914,2920.0,3360.0,153.0,,17Zet Cas,Fulu,0.616188,53.896909,181.8182,17.77,-9.15,2.0,3.69,-2.608,B2IV,-0.196,105.743565,17.207892,146.901502,5.11e-06,1.67e-05,-3.1e-06,0.161317682,0.940678524,8.61514e-08,-4.43605e-08,Zet,17.0,Cas,1,2914,,962.0552192,,,
3172,3172,3179.0,3712.0,168.0,,18Alp Cas,Schedar,0.675116,56.537331,69.979,50.36,-32.17,-4.0,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,3.74e-06,1.802e-05,-9.43e-06,0.176744881,0.986762576,2.44152e-07,-1.55965e-07,Alp,18.0,Cas,1,3172,,542.0008904,Alp,2.25,2.23
3413,3413,3419.0,4128.0,188.0,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,7.82e-06,3.545e-05,2.5e-07,0.190194642,-0.31392547,1.1286e-06,1.58583e-07,Bet,16.0,Cet,1,3413,,116.091387,,,
3759,3759,3765.0,4628.0,222.0,Gl 33,,96 G. Psc,0.806382,5.280615,7.4549,758.04,-1141.22,-10.0,5.74,6.378,K2V,0.89,7.258368,1.555495,0.686093,-1.198e-05,2.545e-05,-4.201e-05,0.211110319,0.092164116,3.67508e-06,-5.53279e-06,,,Psc,1,3759,,0.244793567,,,
3814,3814,3821.0,4614.0,219.0,Gl 34A,24Eta Cas,Achird,0.81826,57.815187,5.9531,1087.11,-559.65,8.2,3.46,4.586,G0V SB,0.587,3.098462,0.674227,5.038376,1.105e-05,3.451e-05,-1.5e-06,0.214219876,1.009065377,5.27046e-06,-2.71326e-06,Eta,24.0,Cas,1,3814,Gl  34,1.275263706,Eta,3.507,3.457
4412,4412,4422.0,5395.0,265.0,,28Ups2Cas,Castula,0.944432,59.181056,61.2745,-92.56,-45.33,-47.0,4.62,0.684,G8III-IV,0.957,30.437701,7.68286,52.6216,-5.94e-06,-2.986e-05,-4.818e-05,0.247251813,1.032904274,-4.48744e-07,-2.19766e-07,Ups-2,28.0,Cas,1,4412,,46.38739668,,,
4417,4417,4427.0,5394.0,264.0,,27Gam Cas,Cih,0.945143,60.71674,168.3502,25.65,-3.82,-7.0,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-5.89e-06,2.01e-05,-7.77e-06,0.247437951,1.059707029,1.24355e-07,-1.85199e-08,Gam,27.0,Cas,1,4417,,3407.218617,Gam,2.173,2.133
5337,5337,5348.0,6882.0,338.0,,Zet Phe,Wurren,1.139742,-55.24576,91.5751,21.17,29.7,15.0,3.94,-0.869,B6V + B0V,-0.12,49.896436,15.346501,-75.238648,1.595e-05,1.474e-05,-5.09e-06,0.298383846,-0.964220411,1.02635e-07,1.4399e-07,Zet,,Phe,1,5337,,193.9099079,Zet,4.199,3.929
5436,5436,5447.0,6860.0,337.0,Gl 53.3,43Bet And,Mirach,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.07,-1.84,M0IIIvar,1.576,46.946371,14.741814,35.255129,2.23e-06,5.471e-05,-2.725e-05,0.304261793,0.621696012,8.51284e-07,-5.44106e-07,Bet,43.0,And,1,5436,,474.2419853,,,
5725,5725,5737.0,7344.0,361.0,,86Zet Psc,Revati,1.228857,7.575354,53.3049,141.66,-55.62,9.0,5.21,1.576,A7IV,0.32,50.128801,16.707567,7.027196,-1.12e-06,3.821e-05,-1.303e-05,0.321713994,0.132214865,6.86787e-07,-2.69653e-07,Zet,86.0,Psc,1,5725,,20.398583,,5.256,5.036
6397,6397,6411.0,8207.0,390.0,,46Xi  And,Adhil,1.372337,45.528778,65.7462,32.21,8.73,-13.0,4.87,0.781,K0III-IV,1.077,43.117698,16.194066,46.916563,-1.419e-05,5.64e-06,-7.54e-06,0.359276883,0.794627076,1.56158e-07,4.23242e-08,Xi,46.0,And,1,6397,,42.42286549,,,
6672,6672,6686.0,8538.0,403.0,,37Del Cas,Ruchbah,1.430216,60.235283,30.4785,297.24,-49.49,7.0,2.66,0.24,A5Vv SB,0.16,14.082378,5.53413,26.457567,-6.85e-06,4.45e-05,2.58e-06,0.374429587,1.051304016,1.44106e-06,-2.39934e-07,Del,37.0,Cas,1,6672,,69.82324041,Del,2.666,2.656
7083,7083,7097.0,9270.0,437.0,,99Eta Psc,Alpherg,1.524725,15.345823,107.1811,25.73,-3.29,15.0,3.62,-1.531,G8III,0.974,95.233975,40.171366,28.364911,8.85e-06,1.824e-05,2.41e-06,0.399171986,0.267835137,1.24743e-07,-1.59504e-08,Eta,99.0,Psc,1,7083,,356.7795883,,,
7499,7499,7513.0,9826.0,458.0,Gl 61,50Ups And,Titawin,1.613299,41.405459,13.4916,-172.57,-381.01,-28.7,4.1,3.45,F8V,0.536,9.229933,4.147969,8.92295,-4.2e-07,-1.256e-05,-3.81e-05,0.422360683,0.722661584,-8.36643e-07,-1.84719e-06,Ups,50.0,And,1,7499,,3.630780548,,,
7574,7574,7588.0,10144.0,472.0,,Alp Eri,Achernar,1.628556,-57.236757,42.7533,88.02,-40.08,16.0,0.45,-2.705,B3Vp,-0.158,21.065573,9.568417,-35.951967,-5.84e-06,1.738e-05,-1.826e-05,0.426355066,-0.998969869,4.26733e-07,-1.94313e-07,Alp,,Eri,1,7574,,1051.961874,Alp,0.487,0.427
7593,7593,7607.0,9927.0,464.0,,51    And,Nembus,1.633205,48.628213,54.3183,60.9,-112.42,16.0,3.59,-0.085,K3III,1.275,32.669331,14.886999,40.762548,2.341e-05,2.829e-05,-7.29e-06,0.427572059,0.848722428,2.95252e-07,-5.45028e-07,,51.0,And,1,7593,,94.18895965,,,
7736,7736,7751.0,10360.0,486.0,Gl 66B,,p Eridani,1.663169,-56.1964,7.8223,286.1,16.66,22.5,5.76,6.293,K0V,0.88,3.945945,1.835674,-6.500103,7.51e-06,1.546e-05,-1.877e-05,0.435416735,-0.980812209,1.38705e-06,8.077e-08,,,Eri,2,118084,Gl 66,0.264728074,,,
8183,8183,8198.0,10761.0,510.0,,110Omi Psc,Torcular,1.756564,9.157736,85.6898,70.82,38.99,14.0,4.26,-0.405,K0III,0.942,75.808974,37.546943,13.637807,-2.7e-06,3.149e-05,1.827e-05,0.459867349,0.159832641,3.43345e-07,1.89029e-07,Omi,110.0,Psc,1,8183,,126.4736347,,,
8628,8628,8645.0,11353.0,539.0,,55Zet Cet,Baten Kaitos,1.857676,-10.335038,72.0461,38.78,-38.04,9.0,3.74,-0.548,K2III,1.136,62.65906,33.12747,-12.925362,-4.3e-07,1.509e-05,-1.472e-05,0.486338411,-0.180380436,1.88011e-07,-1.84423e-07,Zet,55.0,Cet,1,8628,,144.2779623,,,
8777,8777,8796.0,11443.0,544.0,Gl 78.1,2Alp Tri,Mothallah,1.884696,29.578829,19.4175,12.02,-233.69,-16.2,3.42,1.979,F6IV,0.488,14.872602,7.99818,9.584806,-3.66e-06,-6.9e-07,-2.731e-05,0.493412346,0.516247959,5.82746e-08,-1.13296e-06,Alp,2.0,Tri,1,8777,,14.07343138,Alp,3.429,3.409
8813,8813,8832.0,11502.0,546.0,,5Gam2Ari,Mesarthim,1.89217,19.293852,50.3018,79.43,-99.1,-1.0,3.88,0.372,A1p Si,-0.047,41.769649,22.568336,16.620371,-3.03e-06,2.038e-05,-2.315e-05,0.495368913,0.336741238,3.85088e-07,-4.8045e-07,Gam-2,5.0,Ari,1,8813,,61.83010728,Gam,3.892,3.872
8867,8867,8886.0,11415.0,542.0,,45Eps Cas,Segin,1.906584,63.670101,126.2626,31.98,-18.66,-8.0,3.35,-2.156,B2pvar,-0.15,49.169644,26.806887,113.163436,-3.57e-06,2.035e-05,-1.24e-05,0.4991425,1.111252904,1.55043e-07,-9.04662e-08,Eps,45.0,Cas,1,8867,,634.4537958,,,
8884,8884,8903.0,11636.0,553.0,Gl 80,6Bet Ari,Sheratan,1.910668,20.808035,17.9856,96.32,-108.8,-4.0,2.64,1.365,A5V...,0.165,14.752622,8.063457,6.389157,-4.43e-06,7.15e-06,-1.032e-05,0.500211742,0.363168722,4.66973e-07,-5.27477e-07,Bet,6.0,Ari,1,8884,,24.77422058,,,
9467,9467,9487.0,12446.0,595.0,,113Alp Psc,Alrescha,2.034117,2.763759,46.1681,33.29,-0.42,9.0,3.82,0.498,A2,0.024,39.728779,23.413015,2.226137,4.14e-06,1.109e-05,3.5e-07,0.532530499,0.048236702,1.61394e-07,-2.03622e-09,Alp,113.0,Psc,1,9467,,55.05540985,Alp,3.832,3.812
9618,9618,9640.0,12533.0,603.0,,57Gam1And,Almach,2.064984,42.329725,120.4819,43.08,-50.85,-12.0,2.1,-3.305,B8V,1.37,76.368059,45.840864,81.131974,-3.58e-06,2.72e-05,-3.022e-05,0.540611677,0.738793067,2.08858e-07,-2.46528e-07,Gam-1,57.0,And,1,9618,,1828.100216,,,
9861,9861,9884.0,12929.0,617.0,Gl 84.3,13Alp Ari,Hamal,2.119555,23.462423,20.1776,190.73,-145.77,-14.4,2.01,0.486,K2III,1.151,15.731986,9.751722,8.03361,-1.649e-05,1.173e-05,-1.894e-05,0.554898131,0.409496533,9.24685e-07,-7.06713e-07,Alp,13.0,Ari,1,9861,,55.66727982,,,
11734,11734,11767.0,8890.0,424.0,,1Alp UMi,Polaris,2.52975,89.264109,132.626,44.22,-11.74,-17.0,1.97,-3.643,F7:Ib-IIv SB,0.636,1.3431,1.047629,132.614909,-1.171e-05,2.692e-05,-1.748e-05,0.662287075,1.557952613,2.14385e-07,-5.69171e-08,Alp,1.0,UMi,1,11734,,2495.743795,Alp,1.993,1.953
12082,12082,12114.0,16160.0,753.0,Gl 105A,,268 G. Cet,2.601357,6.88687,7.1803,1806.27,1442.5,26.0,5.79,6.509,K3V,0.918,5.538462,4.488223,0.861013,-2.374e-05,6.168e-05,5.304e-05,0.681033735,0.120198562,8.75704e-06,6.99344e-06,,,Cet,1,12082,Gl 105,0.216970155,,,
12673,12673,12706.0,16970.0,804.0,Gl 106.1A,86Gam Cet,Kaffaljidhma,2.721678,3.235818,24.4081,-146.43,-145.27,-5.1,3.47,1.532,A3V,0.093,18.440324,15.931398,1.377729,8.12e-06,-1.588e-05,-1.746e-05,0.71253351,0.056475686,-7.09913e-07,-7.04289e-07,Gam,86.0,Cet,1,12673,Gl 106.1,21.24222477,,,
13028,13028,13061.0,17361.0,824.0,,39    Ari,Lilii Borea,2.79848,29.247118,52.6039,148.42,-125.76,-15.0,4.52,0.915,K1III,1.112,34.120953,30.698125,25.701009,-2.362e-05,2.966e-05,-3.548e-05,0.732640352,0.510458508,7.1956e-07,-6.09702e-07,,39.0,Ari,1,13028,,37.49730022,,,
13176,13176,13209.0,17573.0,838.0,,41    Ari,Bharani,2.833063,27.260507,50.7872,65.47,-116.59,4.0,3.61,0.081,B8Vn,-0.1,33.287607,30.498162,23.26243,1.49e-06,2.322e-05,-2.364e-05,0.741694212,0.475785603,3.17408e-07,-5.65244e-07,,41.0,Ari,1,13176,,80.83510374,,,
13234,13234,13268.0,17506.0,834.0,,15Eta Per,Miram,2.844945,55.895496,269.5418,16.64,-13.76,-1.0,3.77,-3.383,K3Ib comp SB,1.69,111.116108,102.442422,223.184985,-4.21e-06,2.569e-05,-1.093e-05,0.744804891,0.975560442,8.0673e-08,-6.67104e-08,Eta,15.0,Per,1,13234,,1964.264646,,,
13254,13254,13288.0,17824.0,850.0,,2Tau2Eri,Angetenar,2.850645,-21.004019,57.3066,-39.0,-16.63,-9.0,4.76,0.969,K0III,0.906,39.279245,36.32166,-20.540573,-1.7e-07,-1.491e-05,-1.01e-06,0.746297199,-0.366589292,-1.89077e-07,-8.06245e-08,Tau-2,2.0,Eri,1,13254,,35.67795883,,,
13667,13667,13701.0,18322.0,874.0,,3Eta Eri,Azha,2.940458,-8.898144,41.8585,77.73,-219.99,-20.0,3.89,0.781,K1III-IV,1.088,29.694338,28.782724,-6.474577,-3.045e-05,-7.54e-06,-4.094e-05,0.769810125,-0.155301917,3.76846e-07,-1.06654e-06,Eta,3.0,Eri,1,13667,,42.42286549,,,
13813,13813,13847.0,18622.0,897.0,,The1Eri,Acamar,2.971023,-40.304672,49.4315,-53.53,25.71,12.0,2.88,-0.59,A4III+...,0.128,26.85749,26.453029,-31.974932,1.851e-05,2.3e-07,-3.24e-06,0.777812118,-0.703449236,-2.59521e-07,1.24646e-07,The-1,,Eri,1,13813,,149.9684836,,,
14100,14100,14135.0,18884.0,911.0,,92Alp Cet,Menkar,3.037992,4.089734,76.3942,-11.81,-78.76,-26.0,2.54,-1.875,M2III,1.63,53.342561,54.414384,5.448321,-1.399e-05,-2.052e-05,-3.099e-05,0.795344514,0.071379323,-5.72565e-08,-3.81839e-07,Alp,92.0,Cet,1,14100,,489.7788194,Alp,2.561,2.521
14540,14540,14576.0,19356.0,936.0,,26Bet Per,Algol,3.136148,40.955648,27.571,2.39,-1.44,4.0,2.09,-0.112,B8V,-0.003,14.189428,15.238793,18.072114,1.96e-06,2.57e-06,2.54e-06,0.821041501,0.714810898,1.1587e-08,-6.98132e-09,Bet,26.0,Per,1,14540,,96.56060985,Bet,2.213,2.073
14632,14632,14668.0,19476.0,941.0,,27Kap Per,Misam,3.158258,44.857544,34.5662,173.01,-142.05,29.0,3.79,1.097,K0III,0.98,16.593574,18.028979,24.381331,4.28e-06,4.746e-05,4.05e-06,0.826830097,0.78291183,8.38776e-07,-6.88678e-07,Kap,27.0,Per,1,14632,,31.71027439,,,
14802,14802,14838.0,19787.0,951.0,,57Del Ari,Botein,3.193822,19.726677,52.0291,154.61,-8.39,25.0,4.35,0.769,K2IIIvar,1.033,32.830084,36.343153,17.561644,-1.233e-05,4.453e-05,6.64e-06,0.836140688,0.34429547,7.4957e-07,-4.06759e-08,Del,57.0,Ari,1,14802,,42.894341,,,
14843,14843,14879.0,20010.0,963.0,Gl 127A,Alp For,Dalim,3.201249,-28.987618,14.2369,371.49,612.26,-20.0,3.8,3.033,F8V,0.543,8.329775,9.25728,-6.899408,-1.733e-05,1.907e-05,4.687e-05,0.838085047,-0.505929377,1.80103e-06,2.96832e-06,Alp,,For,1,14843,Gl 127,5.330893422,,,
15159,15159,15197.0,20320.0,984.0,,13Zet Eri,Zibal,3.263896,-8.81973,33.6474,-3.82,45.52,-4.0,4.8,2.165,A5m,0.232,21.831836,25.077889,-5.15902,-1.44e-06,-2.6e-06,7.96e-06,0.854485898,-0.153933325,-1.85199e-08,2.20687e-07,Zet,13.0,Eri,1,15159,,11.85768748,,,
15471,15471,15510.0,20794.0,1008.0,Gl 139,,82 G. Eri,3.331944,-43.069784,6.0434,3038.08,726.34,86.7,4.26,5.354,G8V,0.711,2.839238,3.381499,-4.127499,-1.715e-05,0.00011797,-4.501e-05,0.872300799,-0.751709536,1.4729e-05,3.5214e-06,,,Eri,1,15471,,0.628637088,,,
15824,15824,15863.0,20902.0,1017.0,,33Alp Per,Mirfak,3.405378,49.86118,155.2795,24.11,-26.01,-2.0,1.79,-4.166,F5Ib,0.481,62.885098,77.880689,118.708804,-5.55e-06,2.202e-05,-1.419e-05,0.891526004,0.870241752,1.16889e-07,-1.261e-07,Alp,33.0,Per,1,15824,,4040.173354,,,
16496,16496,16537.0,22049.0,1084.0,Gl 144,18Eps Eri,Ran,3.548848,-9.458262,3.2161,-976.44,17.97,16.9,3.72,6.183,K2V,0.881,1.89897,2.541426,-0.528523,2.243e-05,4.58e-06,-2.56e-06,0.929086175,-0.165077816,-4.73391e-06,8.7121e-08,Eps,18.0,Eri,1,16496,,0.292954383,Eps,3.735,3.715
17336,17336,17378.0,23249.0,1136.0,Gl 150,23Del Eri,Rana,3.720806,-9.763395,9.0408,-91.71,742.23,-5.1,3.52,3.739,K0IV,0.915,5.006502,7.370189,-1.533131,3.54e-06,-1.95e-06,3.294e-05,0.974104802,-0.170403382,-4.44623e-07,3.59843e-06,Del,23.0,Eri,1,17336,,2.782274658,Del,3.531,3.511
17406,17406,17448.0,23180.0,1131.0,,38Omi Per,Atik,3.738648,32.288248,343.6426,8.11,-10.32,19.0,3.84,-3.841,B1III,0.022,162.113525,241.065988,183.56674,3.08e-06,2.879e-05,-4.15e-06,0.978775637,0.563536239,3.93184e-08,-5.00328e-08,Omi,38.0,Per,1,17406,,2995.021884,Omi,3.862,3.822
17447,17447,17489.0,23288.0,1140.0,,16    Tau,Celaeno,3.746726,24.28947,115.6069,20.73,-44.0,3.0,5.45,0.135,B7IV,-0.034,58.617318,87.564472,47.554545,-2.46e-06,1.722e-05,-2.121e-05,0.980890615,0.423931227,1.00502e-07,-2.13318e-07,,16.0,Tau,1,17447,,76.91304403,,,
17457,17457,17499.0,23302.0,1142.0,,17    Tau,Electra,3.747927,24.113339,124.0695,21.55,-44.92,12.0,3.72,-1.748,B6III,-0.105,62.965631,94.124106,50.687766,1.59e-06,2.569e-05,-1.965e-05,0.981204912,0.420857162,1.04477e-07,-2.17778e-07,,17.0,Tau,1,17457,,435.7124805,,,
17489,17489,17531.0,23338.0,1145.0,,19    Tau,Taygeta,3.75347,24.467278,125.4705,19.35,-41.63,6.0,4.3,-1.193,B6V,-0.11,63.361504,95.01397,51.966577,-8.7e-07,1.99e-05,-2.051e-05,0.982656248,0.427034552,9.38114e-08,-2.01828e-07,,19.0,Tau,1,17489,,261.3364576,,,
17532,17532,17573.0,23408.0,1149.0,,20    Tau,Maia,3.763779,24.367748,117.5088,21.09,-45.03,8.0,3.87,-1.48,B8III,-0.063,59.14718,89.215057,48.48319,-5e-08,2.167e-05,-1.999e-05,0.985355109,0.425297442,1.02247e-07,-2.18312e-07,,20.0,Tau,1,17532,,340.4081897,,,
17537,17537,17579.0,23432.0,1151.0,,21    Tau,Asterope,3.765132,24.554511,114.0251,19.44,-45.36,9.0,5.76,0.475,B8V,-0.036,57.278032,86.462186,47.384166,1.42e-06,2.16e-05,-1.898e-05,0.985709251,0.428557063,9.42478e-08,-2.19911e-07,,21.0,Tau,1,17537,,56.23413252,,,
17566,17566,17608.0,23480.0,1156.0,,23    Tau,Merope,3.772104,23.948358,116.5501,21.17,-42.67,6.0,4.14,-1.193,B6IV,-0.051,58.663928,88.906234,47.309232,-1.51e-06,1.944e-05,-1.954e-05,0.987534391,0.417977703,1.02635e-07,-2.0687e-07,,23.0,Tau,1,17566,,261.3364576,V971,4.157,4.137
17661,17661,17702.0,23630.0,1165.0,,25Eta Tau,Alcyone,3.79141,24.105137,123.6094,19.35,-43.11,10.0,2.85,-2.61,B7III,-0.086,61.664507,94.489136,50.483636,1.16e-06,2.299e-05,-1.94e-05,0.992588775,0.420714009,9.38114e-08,-2.09003e-07,Eta,25.0,Tau,1,17661,,963.8290236,,,
17805,17805,17847.0,23850.0,1178.0,,27    Tau,Atlas,3.819373,24.053415,117.2333,17.77,-44.7,9.0,3.62,-1.725,B8III,-0.07,57.849417,90.077197,47.782936,1.64e-06,2.124e-05,-1.945e-05,0.99990942,0.419811296,8.61514e-08,-2.16712e-07,,27.0,Tau,1,17805,,426.5795188,,,
17809,17809,17851.0,23862.0,1180.0,,28    Tau,Pleione,3.819782,24.136712,117.096,18.71,-46.74,4.0,5.05,-0.293,B7p,-0.082,57.734463,89.91922,47.882552,-3e-08,1.3e-07,-2.1e-07,1.000016573,0.421265095,9.07086e-08,-2.26602e-07,,28.0,Tau,1,17809,,114.0775013,BU,5.071,5.031
